,filename,width,height,class,xmin,ymin,xmax,ymax
0,frame0.jpg,800,600,label_1,299,253,492,446
1,frame0.jpg,800,600,label_2,404,291,579,465
2,frame0.jpg,800,600,label_3,386,316,610,540
3,frame0.jpg,800,600,label_4,506,190,707,391
4,frame0.jpg,800,600,label_4,590,184,794,388
5,frame1.jpg,800,600,label_1,412,209,451,444
6,frame1.jpg,800,600,label_2,469,207,571,353
7,frame1.jpg,800,600,label_3,508,204,613,419
8,frame1.jpg,800,600,label_4,432,101,647,170
9,frame1.jpg,800,600,label_4,489,35,705,108
10,frame10.jpg,800,600,label_1,418,139,458,371
11,frame10.jpg,800,600,label_2,480,217,582,360
12,frame10.jpg,800,600,label_3,525,150,630,362
13,frame10.jpg,800,600,label_4,447,396,663,463
14,frame10.jpg,800,600,label_4,502,458,723,531
15,frame100.jpg,800,600,label_1,285,161,335,455
16,frame100.jpg,800,600,label_2,344,267,463,455
17,frame100.jpg,800,600,label_3,399,171,524,453
18,frame100.jpg,800,600,label_4,319,525,570,590
19,frame1000.jpg,800,600,label_4,323,313,475,464
20,frame1000.jpg,800,600,label_3,423,201,578,355
21,frame1000.jpg,800,600,label_1,371,122,505,256
22,frame1000.jpg,800,600,label_2,390,195,514,319
23,frame1000.jpg,800,600,label_4,332,255,481,405
24,frame1000.jpg,800,600,label_6,289,328,461,499
25,frame1000.jpg,800,600,label_5,156,233,323,400
26,frame1000.jpg,800,600,label_7,63,160,257,354
27,frame10000.jpg,800,600,label_7,340,288,680,628
28,frame10001.jpg,800,600,label_7,356,286,683,613
29,frame10002.jpg,800,600,label_7,342,292,674,624
30,frame10003.jpg,800,600,label_7,517,101,670,429
31,frame10004.jpg,800,600,label_7,396,248,720,573
32,frame10005.jpg,800,600,label_7,357,288,685,617
33,frame10006.jpg,800,600,label_7,349,303,674,628
34,frame10007.jpg,800,600,label_7,513,113,664,435
35,frame10008.jpg,800,600,label_7,342,288,685,631
36,frame10009.jpg,800,600,label_7,387,241,730,585
37,frame1001.jpg,800,600,label_4,377,217,544,262
38,frame1001.jpg,800,600,label_3,418,320,489,467
39,frame1001.jpg,800,600,label_1,331,333,362,490
40,frame1001.jpg,800,600,label_2,369,323,440,426
41,frame1001.jpg,800,600,label_4,339,266,506,309
